user_id,date,item,category,price
U147,2024-01-10,Sticky Notes,Stationery,4.33
U050,2024-01-30,Power Bank,Electronics,15.0
U064,2024-01-19,Monitor,Electronics,212.89
U107,2024-01-17,Face Wash,Personal Care,10.84
U165,2024-01-25,Jeans,Clothing,53.0
U189,2024-01-13,Sweater,Clothing,56.1
U060,2024-01-08,Power Bank,Electronics,53.0
U080,2024-01-02,Power Bank,Electronics,64.0
U128,2024-01-08,Folder,Stationery,1.64
U194,2024-01-31,T-Shirt,Clothing,14.68
U001,2024-01-01,Bread,Grocery,3.35
U181,2024-01-25,Sweater,Clothing,62.05
U092,2024-01-11,Hand Sanitizer,Personal Care,7.5
U121,2024-01-24,Planner,Stationery,8.09
U183,2024-01-29,Shorts,Clothing,23.0
U117,2024-01-29,Deodorant,Personal Care,11.4
U115,2024-01-19,Deodorant,Personal Care,7.97
U144,2024-01-12,Highlighter,Stationery,3.16
U009,2024-01-09,Tea,Grocery,8.48
U021,2024-01-03,Pasta,Grocery,3.99
U178,2024-01-02,Cap,Clothing,10.96
U106,2024-01-22,Body Lotion,Personal Care,14.15
U103,2024-01-04,Face Wash,Personal Care,16.46
U066,2024-01-14,Charger,Electronics,23.21
U042,2024-01-15,Tea,Grocery,6.23
U051,2024-01-04,Headphones,Electronics,112.91
U057,2024-01-23,USB Cable,Electronics,8.99
U141,2024-01-07,Planner,Stationery,10.09
U019,2024-01-07,Tea,Grocery,7.64
U132,2024-01-31,Pen,Stationery,3.21
U079,2024-01-07,Smartwatch,Electronics,292.49
U101,2024-01-10,Razor,Personal Care,18.84
U150,2024-01-22,Marker,Stationery,6.24
U082,2024-01-06,Razor,Personal Care,3.97
U034,2024-01-05,Yogurt,Grocery,2.32
U015,2024-01-26,Pasta,Grocery,1.15
U196,2024-01-19,Jeans,Clothing,86.6
U073,2024-01-03,Headphones,Electronics,112.64
U186,2024-01-20,Jacket,Clothing,114.78
U184,2024-01-16,Cap,Clothing,7.0
U139,2024-01-14,Eraser,Stationery,1.63
U020,2024-01-22,Milk,Grocery,3.07
U135,2024-01-29,Pen,Stationery,3.9
U175,2024-01-29,Dress,Clothing,93.0
U010,2024-01-25,Milk,Grocery,4.51
U104,2024-01-05,Razor,Personal Care,7.63
U044,2024-01-22,Keyboard,Electronics,81.36
U109,2024-01-02,Face Wash,Personal Care,4.05
U065,2024-01-07,Webcam,Electronics,36.79
U054,2024-01-25,Power Bank,Electronics,23.17
U160,2024-01-22,Socks,Clothing,6.73
U026,2024-01-24,Coffee,Grocery,8.18
U005,2024-01-01,Milk,Grocery,2.73
U053,2024-01-03,Keyboard,Electronics,69.89
U148,2024-01-13,Eraser,Stationery,1.83
U086,2024-01-08,Sunscreen,Personal Care,17.0
U056,2024-01-31,Webcam,Electronics,51.47
U192,2024-01-02,Scarf,Clothing,45.0
U195,2024-01-05,Shorts,Clothing,23.45
U173,2024-01-16,Scarf,Clothing,31.0
U168,2024-01-18,Scarf,Clothing,30.03
U129,2024-01-12,Folder,Stationery,2.08
U191,2024-01-09,Cap,Clothing,26.04
U114,2024-01-18,Toothpaste,Personal Care,2.22
U151,2024-01-20,Pencil,Stationery,1.27
U149,2024-01-05,Sticky Notes,Stationery,1.96
U014,2024-01-28,Apples,Grocery,3.72
U153,2024-01-10,Stapler,Stationery,5.52
